,exp_name,env_name,seed,metric,env_step,value
252,ours,acrobot-swingup,2,avg_return,530000,458.17800526764194
253,ours,acrobot-swingup,2,avg_return,540000,459.56020587497233
254,ours,acrobot-swingup,2,avg_return,550000,489.29360756643172
255,ours,acrobot-swingup,2,avg_return,560000,483.37811692410122
256,ours,acrobot-swingup,2,avg_return,570000,498.55131209381744
257,ours,acrobot-swingup,2,avg_return,580000,555.9451358902877
258,ours,acrobot-swingup,2,avg_return,590000,299.72996995741852
259,ours,acrobot-swingup,2,avg_return,600000,474.71113378271696
260,ours,acrobot-swingup,2,avg_return,610000,384.05971092132665
261,ours,acrobot-swingup,2,avg_return,620000,462.68569501094953
262,ours,acrobot-swingup,2,avg_return,630000,340.28269440544864
263,ours,acrobot-swingup,2,avg_return,640000,342.48551147521277
264,ours,acrobot-swingup,2,avg_return,650000,358.30111021740561
265,ours,acrobot-swingup,2,avg_return,660000,696.91533984673924
266,ours,acrobot-swingup,2,avg_return,670000,318.21266077015275
267,ours,acrobot-swingup,2,avg_return,680000,644.79280632904261
268,ours,acrobot-swingup,2,avg_return,690000,266.95072377755957
269,ours,acrobot-swingup,2,avg_return,700000,581.32358301132263
270,ours,acrobot-swingup,2,avg_return,710000,243.17416746882319
271,ours,acrobot-swingup,2,avg_return,720000,380.56979724703876
272,ours,acrobot-swingup,2,avg_return,730000,434.56988773676176
273,ours,acrobot-swingup,2,avg_return,740000,556.53207977732222
274,ours,acrobot-swingup,2,avg_return,750000,639.43001374491007
275,ours,acrobot-swingup,2,avg_return,760000,440.52536759640498
276,ours,acrobot-swingup,2,avg_return,770000,593.2026437427528
277,ours,acrobot-swingup,2,avg_return,780000,470.32402704901858
278,ours,acrobot-swingup,2,avg_return,790000,538.09719347605642
279,ours,acrobot-swingup,2,avg_return,800000,639.2735694049428
280,ours,acrobot-swingup,2,avg_return,810000,602.23810619752658
281,ours,acrobot-swingup,2,avg_return,820000,517.00427888953152
282,ours,acrobot-swingup,2,avg_return,830000,676.97605165222592
283,ours,acrobot-swingup,2,avg_return,840000,332.28536391674425
284,ours,acrobot-swingup,2,avg_return,850000,445.69000848496955
285,ours,acrobot-swingup,2,avg_return,860000,664.55330854367696
286,ours,acrobot-swingup,2,avg_return,870000,536.1210779766086
287,ours,acrobot-swingup,2,avg_return,880000,434.10888347655919
288,ours,acrobot-swingup,2,avg_return,890000,569.36882940685405
289,ours,acrobot-swingup,2,avg_return,900000,426.92524750479544
290,ours,acrobot-swingup,2,avg_return,910000,543.44629956574192
291,ours,acrobot-swingup,2,avg_return,920000,582.05218817797686
292,ours,acrobot-swingup,2,avg_return,930000,558.53366025932121
293,ours,acrobot-swingup,2,avg_return,940000,610.82842289116832
294,ours,acrobot-swingup,2,avg_return,950000,436.67932836479832
295,ours,acrobot-swingup,2,avg_return,960000,451.88341784763873
296,ours,acrobot-swingup,2,avg_return,970000,718.43798079599514
297,ours,acrobot-swingup,2,avg_return,980000,359.77158956754494
298,ours,acrobot-swingup,2,avg_return,990000,557.25018063001903
299,ours,acrobot-swingup,2,avg_return,1000000,740.60669988080622
300,ours,acrobot-swingup,3,avg_return,10000,13.56095080118823
301,ours,acrobot-swingup,3,avg_return,20000,16.155578807719586
302,ours,acrobot-swingup,3,avg_return,30000,72.485477428261078
303,ours,acrobot-swingup,3,avg_return,40000,147.53431960585058
304,ours,acrobot-swingup,3,avg_return,50000,67.460580205494125
305,ours,acrobot-swingup,3,avg_return,60000,33.368900968589195
306,ours,acrobot-swingup,3,avg_return,70000,129.20113359210558
307,ours,acrobot-swingup,3,avg_return,80000,120.32620430279655
308,ours,acrobot-swingup,3,avg_return,90000,27.835770547676407
309,ours,acrobot-swingup,3,avg_return,100000,143.72208632447567
310,ours,acrobot-swingup,3,avg_return,110000,228.67890889340515
311,ours,acrobot-swingup,3,avg_return,120000,14.047405355210449
312,ours,acrobot-swingup,3,avg_return,130000,225.60642687991935
313,ours,acrobot-swingup,3,avg_return,140000,276.98744470904285
314,ours,acrobot-swingup,3,avg_return,150000,383.93091373765128
315,ours,acrobot-swingup,3,avg_return,160000,356.02724844724912
316,ours,acrobot-swingup,3,avg_return,170000,284.29113697629538
317,ours,acrobot-swingup,3,avg_return,180000,348.20943810759957
318,ours,acrobot-swingup,3,avg_return,190000,317.91796980963306
319,ours,acrobot-swingup,3,avg_return,200000,309.43093009591598
320,ours,acrobot-swingup,3,avg_return,210000,141.3094668740207
321,ours,acrobot-swingup,3,avg_return,220000,256.27093655946442
322,ours,acrobot-swingup,3,avg_return,230000,397.36263837541821
323,ours,acrobot-swingup,3,avg_return,240000,184.43262869514507
324,ours,acrobot-swingup,3,avg_return,250000,220.42954268759749
325,ours,acrobot-swingup,3,avg_return,260000,145.94548664212388
326,ours,acrobot-swingup,3,avg_return,270000,355.64681796326175
327,ours,acrobot-swingup,3,avg_return,280000,175.2680494732619
328,ours,acrobot-swingup,3,avg_return,290000,292.55750066085
329,ours,acrobot-swingup,3,avg_return,300000,217.7182915357063
330,ours,acrobot-swingup,3,avg_return,310000,234.79695628050004
331,ours,acrobot-swingup,3,avg_return,320000,267.40850895246319
332,ours,acrobot-swingup,3,avg_return,330000,300.07618448561186
333,ours,acrobot-swingup,3,avg_return,340000,228.51910978564706
334,ours,acrobot-swingup,3,avg_return,350000,397.65115730737563
